id,majortopic,subtopic,PAPMajorTopic,CAPsubTopic,Topic,year,percent,PAPpercent,congress
5754,1,101,1,101,101,1940,,,76
6442,1,101,1,101,101,1941,,,77
3715,1,101,1,101,101,1942,,,77
3445,1,101,1,101,101,1943,,,78
4956,1,101,1,101,101,1944,,,78
5128,1,101,1,101,101,1945,,,79
3979,1,101,1,101,101,1946,,,79
1183,1,101,1,101,101,1947,,,80
4789,1,101,1,101,101,1948,,,80
6537,1,101,1,101,101,1949,,,81
2820,1,101,1,101,101,1950,,,81
6105,1,101,1,101,101,1951,,,82
9053,1,101,1,101,101,1952,,,82
5244,1,101,1,101,101,1953,,,83
3153,1,101,1,101,101,1954,,,83
1942,1,101,1,101,101,1955,,,84
8404,1,101,1,101,101,1956,,,84
2995,1,101,1,101,101,1957,,,85
7358,1,101,1,101,101,1958,,,85
5192,1,101,1,101,101,1959,,,86
6187,1,101,1,101,101,1960,,,86
8752,1,101,1,101,101,1961,,,87
9174,1,101,1,101,101,1962,,,87
2463,1,101,1,101,101,1963,,,88
2003,1,101,1,101,101,1964,,,88
4945,1,101,1,101,101,1965,,,89
4929,1,101,1,101,101,1966,,,89
8720,1,101,1,101,101,1967,,,90
7727,1,101,1,101,101,1968,,,90
9889,1,101,1,101,101,1969,,,91
9733,1,101,1,101,101,1970,,,91
2015,1,101,1,101,101,1971,,,92
9115,1,101,1,101,101,1972,,,92
5883,1,101,1,101,101,1973,,,93
638,1,101,1,101,101,1974,0.47709,0.47709,93
812,1,101,1,101,101,1975,0.4654,0.4654,94
29,1,101,1,101,101,1976,0.46556,0.46556,94
3984,1,101,1,101,101,1977,0.4694,0.4694,95
5764,1,101,1,101,101,1978,0.47318,0.47318,95
9066,1,101,1,101,101,1979,0.45075,0.45075,96
9165,1,101,1,101,101,1980,0.45062,0.45062,96
1078,1,101,1,101,101,1981,0.45062,0.45062,97
4183,1,101,1,101,101,1982,0.46184,0.46184,97
1630,1,101,1,101,101,1983,0.47313,0.47313,98
8469,1,101,1,101,101,1984,0.47319,0.47319,98
5469,1,101,1,101,101,1985,0.48898,0.48898,99
307,1,101,1,101,101,1986,0.56831,0.56831,99
7425,1,101,1,101,101,1987,0.5342,0.5342,100
1120,1,101,1,101,101,1988,0.51005,0.51005,100
4199,1,101,1,101,101,1989,0.5099,0.5099,101
365,1,101,1,101,101,1990,0.48828,0.48828,101
6641,1,101,1,101,101,1991,0.54248,0.54248,102
6859,1,101,1,101,101,1992,0.52472,0.52472,102
1438,1,101,1,101,101,1993,0.48415,0.48415,103
9142,1,101,1,101,101,1994,0.47633,0.47633,103
3639,1,101,1,101,101,1995,0.42651,0.42651,104
5734,1,101,1,101,101,1996,0.42267,0.42267,104
3926,1,101,1,101,101,1997,0.46454,0.46454,105
4726,1,101,1,101,101,1998,0.46908,0.46908,105
2880,1,101,1,101,101,1999,0.47241,0.47241,106
8305,1,101,1,101,101,2000,0.47789,0.47789,106
226,1,101,1,101,101,2001,0.47907,0.47907,107
2929,1,101,1,101,101,2002,0.49885,0.49885,107
2442,1,101,1,101,101,2003,0.51352,0.51352,108
2456,1,101,1,101,101,2004,0.4993,0.4993,108
2121,1,101,1,101,101,2005,0.49921,0.49921,109
6124,1,101,1,101,101,2006,0.49811,0.49811,109
6698,1,101,1,101,101,2007,0.47247,0.47247,110
8590,1,101,1,101,101,2008,0.47231,0.47231,110
7790,1,101,1,101,101,2009,0.44226,0.44226,111
5857,1,101,1,101,101,2010,0.44231,0.44231,111
3485,1,101,1,101,101,2011,0.4268,0.4268,112
4935,1,101,1,101,101,2012,0.41691,0.41691,112
3186,1,101,1,101,101,2013,0.41685,0.41685,113
1839,1,101,1,101,101,2014,0.41685,0.41685,113
3822,1,101,1,101,101,2015,0.41685,0.41685,114
3718,1,101,1,101,101,2016,0.45126,0.45126,114
5480,1,101,1,101,101,2017,,,115
974,1,101,1,101,101,2018,,,115
2711,1,103,1,103,103,1940,,,76
1715,1,103,1,103,103,1941,,,77
9585,1,103,1,103,103,1942,,,77
3114,1,103,1,103,103,1943,,,78
6030,1,103,1,103,103,1944,,,78
9514,1,103,1,103,103,1945,,,79
9352,1,103,1,103,103,1946,,,79
7880,1,103,1,103,103,1947,,,80
2323,1,103,1,103,103,1948,,,80
3012,1,103,1,103,103,1949,,,81
7327,1,103,1,103,103,1950,,,81
4029,1,103,1,103,103,1951,,,82
5432,1,103,1,103,103,1952,,,82
5162,1,103,1,103,103,1953,,,83
9970,1,103,1,103,103,1954,,,83
6022,1,103,1,103,103,1955,,,84
4622,1,103,1,103,103,1956,,,84
5789,1,103,1,103,103,1957,,,85
7140,1,103,1,103,103,1958,,,85
2316,1,103,1,103,103,1959,,,86
2830,1,103,1,103,103,1960,,,86
4839,1,103,1,103,103,1961,,,87
4860,1,103,1,103,103,1962,,,87
3538,1,103,1,103,103,1963,,,88
7710,1,103,1,103,103,1964,,,88
2796,1,103,1,103,103,1965,,,89
7773,1,103,1,103,103,1966,0.60296,0.60296,89
5183,1,103,1,103,103,1967,0.60187,0.60187,90
4522,1,103,1,103,103,1968,0.60047,0.60047,90
3088,1,103,1,103,103,1969,0.57471,0.57471,91
5034,1,103,1,103,103,1970,0.5986,0.5986,91
6324,1,103,1,103,103,1971,0.64539,0.64539,92
5271,1,103,1,103,103,1972,0.67411,0.67411,92
5410,1,103,1,103,103,1973,0.67391,0.67391,93
3573,1,103,1,103,103,1974,0.64757,0.64757,93
6347,1,103,1,103,103,1975,0.63662,0.63662,94
3373,1,103,1,103,103,1976,0.62073,0.62073,94
648,1,103,1,103,103,1977,0.62888,0.62888,95
3632,1,103,1,103,103,1978,0.59692,0.59692,95
437,1,103,1,103,103,1979,0.57364,0.57364,96
1203,1,103,1,103,103,1980,0.55011,0.55011,96
7476,1,103,1,103,103,1981,0.53156,0.53156,97
3774,1,103,1,103,103,1982,0.57619,0.57619,97
2841,1,103,1,103,103,1983,0.62571,0.62571,98
4624,1,103,1,103,103,1984,0.59297,0.59297,98
5453,1,103,1,103,103,1985,0.57211,0.57211,99
7090,1,103,1,103,103,1986,0.60982,0.60982,99
4160,1,103,1,103,103,1987,0.56907,0.56907,100
1763,1,103,1,103,103,1988,0.54988,0.54988,100
1277,1,103,1,103,103,1989,0.60879,0.60879,101
4996,1,103,1,103,103,1990,0.59944,0.59944,101
1469,1,103,1,103,103,1991,0.61559,0.61559,102
7972,1,103,1,103,103,1992,0.54343,0.54343,102
4798,1,103,1,103,103,1993,0.57256,0.57256,103
3030,1,103,1,103,103,1994,0.58819,0.58819,103
5300,1,103,1,103,103,1995,0.59545,0.59545,104
3347,1,103,1,103,103,1996,0.57881,0.57881,104
7953,1,103,1,103,103,1997,0.58591,0.58591,105
5472,1,103,1,103,103,1998,0.56426,0.56426,105
4084,1,103,1,103,103,1999,0.55791,0.55791,106
602,1,103,1,103,103,2000,0.58929,0.58929,106
7145,1,103,1,103,103,2001,0.60349,0.60349,107
761,1,103,1,103,103,2002,0.60992,0.60992,107
1651,1,103,1,103,103,2003,0.61283,0.61283,108
1419,1,103,1,103,103,2004,0.61416,0.61416,108
8837,1,103,1,103,103,2005,0.61475,0.61475,109
5889,1,103,1,103,103,2006,0.58326,0.58326,109
8695,1,103,1,103,103,2007,0.55251,0.55251,110
1349,1,103,1,103,103,2008,0.53832,0.53832,110
3804,1,103,1,103,103,2009,0.53176,0.53176,111
6171,1,103,1,103,103,2010,0.52873,0.52873,111
489,1,103,1,103,103,2011,0.52732,0.52732,112
8919,1,103,1,103,103,2012,0.52666,0.52666,112
1571,1,103,1,103,103,2013,0.52635,0.52635,113
3015,1,103,1,103,103,2014,0.52621,0.52621,113
1431,1,103,1,103,103,2015,0.52614,0.52614,114
9285,1,103,1,103,103,2016,0.5176,0.5176,114
8562,1,103,1,103,103,2017,,,115
634,1,103,1,103,103,2017,,,115
8780,1,105,1,105,105,1940,,,76
3916,1,105,1,105,105,1941,,,77
1098,1,105,1,105,105,1942,,,77
1072,1,105,1,105,105,1943,,,78
9431,1,105,1,105,105,1944,,,78
6486,1,105,1,105,105,1945,,,79
8446,1,105,1,105,105,1946,,,79
7066,1,105,1,105,105,1947,,,80
5292,1,105,1,105,105,1948,,,80
1601,1,105,1,105,105,1949,,,81
7675,1,105,1,105,105,1950,,,81
7018,1,105,1,105,105,1951,,,82
8264,1,105,1,105,105,1952,,,82
8487,1,105,1,105,105,1953,,,83
2420,1,105,1,105,105,1954,,,83
1914,1,105,1,105,105,1955,,,84
2613,1,105,1,105,105,1956,,,84
7428,1,105,1,105,105,1957,,,85
3272,1,105,1,105,105,1958,,,85
3022,1,105,1,105,105,1959,,,86
6569,1,105,1,105,105,1960,,,86
9774,1,105,1,105,105,1961,,,87
2136,1,105,1,105,105,1962,,,87
6302,1,105,1,105,105,1963,,,88
3898,1,105,1,105,105,1964,,,88
9385,1,105,1,105,105,1965,,,89
5918,1,105,1,105,105,1966,,,89
6505,1,105,1,105,105,1967,,,90
2189,1,105,1,105,105,1968,,,90
5439,1,105,1,105,105,1969,,,91
8914,1,105,1,105,105,1970,,,91
4881,1,105,1,105,105,1971,,,92
6624,1,105,1,105,105,1972,,,92
2410,1,105,1,105,105,1973,,,93
7239,1,105,1,105,105,1974,,,93
2545,1,105,1,105,105,1975,,,94
4851,1,105,1,105,105,1976,,,94
9083,1,105,1,105,105,1977,,,95
2295,1,105,1,105,105,1978,,,95
780,1,105,1,105,105,1979,,,96
4906,1,105,1,105,105,1980,,,96
1753,1,105,1,105,105,1981,,,97
2240,1,105,1,105,105,1982,,,97
9414,1,105,1,105,105,1983,,,98
6429,1,105,1,105,105,1984,0.68406,0.68406,98
9206,1,105,1,105,105,1985,0.75291,0.75291,99
1213,1,105,1,105,105,1986,0.71532,0.71532,99
1696,1,105,1,105,105,1987,0.70946,0.70946,100
469,1,105,1,105,105,1988,0.69362,0.69362,100
4024,1,105,1,105,105,1989,0.67779,0.67779,101
7489,1,105,1,105,105,1990,0.67827,0.67827,101
359,1,105,1,105,105,1991,0.66918,0.66918,102
55,1,105,1,105,105,1992,0.69167,0.69167,102
7528,1,105,1,105,105,1993,0.65501,0.65501,103
1474,1,105,1,105,105,1994,0.60896,0.60896,103
3085,1,105,1,105,105,1995,0.6035,0.6035,104
4558,1,105,1,105,105,1996,0.62976,0.62976,104
2390,1,105,1,105,105,1997,0.59907,0.59907,105
8023,1,105,1,105,105,1998,0.63421,0.63421,105
1112,1,105,1,105,105,1999,0.65747,0.65747,106
7804,1,105,1,105,105,2000,0.64507,0.64507,106
3641,1,105,1,105,105,2001,0.6454,0.6454,107
5265,1,105,1,105,105,2002,0.6441,0.6441,107
938,1,105,1,105,105,2003,0.67399,0.67399,108
8629,1,105,1,105,105,2004,0.70236,0.70236,108
5277,1,105,1,105,105,2005,0.69657,0.69657,109
4551,1,105,1,105,105,2006,0.71496,0.71496,109
8666,1,105,1,105,105,2007,0.73338,0.73338,110
3437,1,105,1,105,105,2008,0.72014,0.72014,110
6268,1,105,1,105,105,2009,0.66047,0.66047,111
6622,1,105,1,105,105,2010,0.62258,0.62258,111
615,1,105,1,105,105,2011,0.59634,0.59634,112
5111,1,105,1,105,105,2012,0.59318,0.59318,112
7048,1,105,1,105,105,2013,0.5936,0.5936,113
2880,1,105,1,105,105,2014,0.58908,0.58908,113
2778,1,105,1,105,105,2015,0.62156,0.62156,114
2443,1,105,1,105,105,2016,0.64636,0.64636,114
5615,1,105,1,105,105,2017,0.65643,0.65643,115
5530,1,105,1,105,105,2018,,,115
3244,1,107,1,107,107,1940,,,76
5100,1,107,1,107,107,1941,,,77
303,1,107,1,107,107,1942,,,77
1313,1,107,1,107,107,1943,,,78
8950,1,107,1,107,107,1944,,,78
7444,1,107,1,107,107,1945,,,79
383,1,107,1,107,107,1946,,,79
4697,1,107,1,107,107,1947,0.72326,0.72326,80
9935,1,107,1,107,107,1948,0.7263,0.7263,80
8412,1,107,1,107,107,1949,0.74561,0.74561,81
5233,1,107,1,107,107,1950,0.73475,0.73475,81
2688,1,107,1,107,107,1951,0.75309,0.75309,82
3150,1,107,1,107,107,1952,0.66801,0.66801,82
8731,1,107,1,107,107,1953,0.66711,0.66711,83
856,1,107,1,107,107,1954,0.68481,0.68481,83
4624,1,107,1,107,107,1955,0.68979,0.68979,84
4029,1,107,1,107,107,1956,0.70974,0.70974,84
